question,answer
755 767,766 765 764 763 746
755 767 766,765 764 763 746
755 767 766 765,764 763 746
755 767 766 765 764,763 746
755 767 766 765 764 763,746
762 761,746
760 759,758 757 756 752
760 759 758,757 756 752
760 759 758 757,756 752
760 759 758 757 756,752
755 495,660 754 753
755 495 660,754 753
755 495 660 754,753
752 53,180 150 746
752 53 180,150 746
752 53 180 150,746
751 750,746
749 748,747
1086 275,1081
1085 1084,277
1080 275,841 1079
1080 275 841,1079
1078 1077,1076 935 1075 1074
1078 1077 1076,935 1075 1074
1078 1077 1076 935,1075 1074
1078 1077 1076 935 1075,1074
1072 1071,1070
1215 1214,1213 1212
1215 1214 1213,1212
1211 1210,935
1209 1208,1205
3 818,814
3 817,814
180 801,800 683 725 783
180 801 800,683 725 783
180 801 800 683,725 783
180 801 800 683 725,783
791 799,798
797 796,795 662 783
797 796 795,662 783
797 796 795 662,783
717 792,794 788
717 792 794,788
793 792,791 790 789
793 792 791,790 789
793 792 791 790,789
150 788,787
786 785,784
1040 879,1032
1039 1038,1032
1036 1035,1032
515 525,524
523 522,518
515 520,519
515 518,517
841 840,825 819
841 840 825,819
838 837,836 829
838 837 836,829
835 834,833 832 831 830
835 834 833,832 831 830
835 834 833 832,831 830
835 834 833 832 831,830
829 828,827
825 824,823 822
825 824 823,822
686 685,684 683
686 685 684,683
682 180,677
681 680,677
685 812,683 811
685 812 683,811
810 218,677
808 807,677
218 806,677
1132 1131,1122
1130 1129,1128 1122
1130 1129 1128,1122
1204 1203,1202 1179
1204 1203 1202,1179
1201 1200,1199 1179
1201 1200 1199,1179
1197 1196,1179
1195 935,1031 1194
1195 935 1031,1194
1193 650,1192 1191 1190 1189
1193 650 1192,1191 1190 1189
1193 650 1192 1191,1190 1189
1193 650 1192 1191 1190,1189
1188 1179,1187 1186 1185 1184 1179
1188 1179 1187,1186 1185 1184 1179
1188 1179 1187 1186,1185 1184 1179
1188 1179 1187 1186 1185,1184 1179
1188 1179 1187 1186 1185 1184,1179
1183 1182,1180 1181 1180
1183 1182 1180,1181 1180
1183 1182 1180 1181,1180
394 393,388
391 390,388
388 387,386
655 1234,843
843 889,1232 843
843 889 1232,843
1231 1219,843
1228 1227,1226
167 175,169
172 171,170 159
172 171 170,159
167 169,159
168 166,167
166 165,164 159
166 165 164,159
161 163,159
162 161,160
606 605,599
582 604,599 42
582 604 599,42
603 576,602
582 576,579 600
582 576 579,600
580 599,598 54 597 596
580 599 598,54 597 596
580 599 598 54,597 596
580 599 598 54 597,596
655 867,884
861 883,882 874
861 883 882,874
881 880,879 867 878 867 861
881 880 879,867 878 867 861
881 880 879 867,878 867 861
881 880 879 867 878,867 861
881 880 879 867 878 867,861
877 876,875
872 871,873 872
872 871 873,872
871 870,869 868
871 870 869,868
861 867,866 865 864 863 862
861 867 866,865 864 863 862
861 867 866 865,864 863 862
861 867 866 865 864,863 862
861 867 866 865 864 863,862
625 624,620
623 622,621
620 619,616
433 432,427
431 430,427
629 633,632 631 630
629 633 632,631 630
629 633 632 631,630
629 628,627
629 659,666 629
629 659 666,629
656 275,665
657 664,663 662
657 664 663,662
656 661,629
660 659,657
655 1179,1166
1178 1177,1176 1166
1178 1177 1176,1166
1085 1173,1166
1172 1171,1170 1169 1166
1172 1171 1170,1169 1166
1172 1171 1170 1169,1166
1168 277,1167
650 635,635
649 648,635
637 647,646 645 635
637 647 646,645 635
637 647 646 645,635
644 643,642 641 635
644 643 642,641 635
644 643 642 641,635
638 637,636
859 858,857
856 855,854 853 852
856 855 854,853 852
856 855 854 853,852
851 850,849
845 844,843
199 924,923
919 918,917 916
919 918 917,916
915 867,914
913 912,911 910
913 912 911,910
907 867,906 905
907 867 906,905
1224 1223,1217
1221 1151,275 843 1220
1221 1151 275,843 1220
1221 1151 275 843,1220
935 1142,1141 1138
935 1142 1141,1138
1140 867,1139
1138 1137,1134
39 46,33
45 44,43 33 39
45 44 43,33 39
45 44 43 33,39
40 34,39 33
40 34 39,33
38 37,33
36 35,34
1117 689,1012
1116 1115,1012
1017 1113,784 1112 1012
1017 1113 784,1112 1012
1017 1113 784 1112,1012
1017 1111,1110 1012
1017 1111 1110,1012
1108 1107,1106 1105
1108 1107 1106,1105
1089 1104,1103 1102 1012
1089 1104 1103,1102 1012
1089 1104 1103 1102,1012
1101 1100,1009 1012
1101 1100 1009,1012
1099 1098,1012
1096 1095,1012
1094 1093,1092 1012
1094 1093 1092,1012
1011 619,1012
1089 1011,1088
936 935,925
934 933,932
931 930,929 928
931 930 929,928
592 591,590
589 588,587 586
589 588 587,586
583 579,582
581 580,579 578
581 580 579,578
981 980,971
976 975,974
973 857,972
212 206,207 211 210
212 206 207,211 210
212 206 207 211,210
207 206,205 204 200
207 206 205,204 200
207 206 205 204,200
199 203,202 201
199 203 202,201
969 968,961 959
969 968 961,959
967 948,966
965 961,964 959
965 961 964,959
962 961,959
959 938,958
100 29,99 17 80
100 29 99,17 80
100 29 99 17,80
97 96,80
13 95,80
13 94,80
13 83,80
13 93,17 80
13 93 17,80
92 91,80
88 83,23
87 86,85 80
87 86 85,80
13 84,80
13 17,80
82 74,81
78 77,70
76 75,74 73 70
76 75 74,73 70
76 75 74 73,70
1008 996,1007
1001 993,984
1006 1005,1004 984
1006 1005 1004,984
994 1003,1002 987 1001 1000
994 1003 1002,987 1001 1000
994 1003 1002 987,1001 1000
994 1003 1002 987 1001,1000
999 998,984
995 994,990 984
995 994 990,984
993 992,991
983 990,989 988 987 986 985
983 990 989,988 987 986 985
983 990 989 988,987 986 985
983 990 989 988 987,986 985
983 990 989 988 987 986,985
984 983,982
250 227,249 248 247
250 227 249,248 247
250 227 249 248,247
246 245,244 243 242 241 240 239
246 245 244,243 242 241 240 239
246 245 244 243,242 241 240 239
246 245 244 243 242,241 240 239
246 245 244 243 242 241,240 239
246 245 244 243 242 241 240,239
238 237,236 226 235 234
238 237 236,226 235 234
238 237 236 226,235 234
238 237 236 226 235,234
47 231,228
1060 1051,959
1059 1058,1057 1056 1052
1059 1058 1057,1056 1052
1059 1058 1057 1056,1052
961 1055,959
1052 768,1051 1050 1049 957
1052 768 1051,1050 1049 957
1052 768 1051 1050,1049 957
1052 768 1051 1050 1049,957
145 144,109
143 142,141
140 139,138 137
140 139 138,137
110 135,134 133 132
110 135 134,133 132
110 135 134 133,132
131 130,129 109 128
131 130 129,109 128
131 130 129 109,128
103 127,126 125
103 127 126,125
124 123,122 121 120 119 118 117
124 123 122,121 120 119 118 117
124 123 122 121,120 119 118 117
124 123 122 121 120,119 118 117
124 123 122 121 120 119,118 117
124 123 122 121 120 119 118,117
112 111,109 110 109
112 111 109,110 109
112 111 109 110,109
108 107,106 105
108 107 106,105
104 103,102
263 262,261 260
263 262 261,260
258 257,252
255 251,251
154 148,152
158 157,156
155 154,152
149 3,153
149 13,152
149 151,147
150 3,149 148
150 3 149,148
190 189,155
188 187,158 155
188 187 158,155
185 13,184 180 150 155
185 13 184,180 150 155
185 13 184 180,150 155
185 13 184 180 150,155
176 182,181 180 177
176 182 181,180 177
176 182 181 180,177
3 53,179 178
3 53 179,178
